date,symbol,volume,transaction,open,high,low,close
2025-12-16,2485,115374295,51434,27.3,30.0,27.05,28.8
2025-12-16,2371,112343314,41742,32.4,33.7,31.5,31.5
2025-12-16,00632R,109301797,11148,17.15,17.34,17.14,17.2
2025-12-16,2313,103801054,64121,89.0,92.4,85.5,86.3
2025-12-16,0052,93412953,67575,35.71,35.75,35.38,35.65
2025-12-16,2891,90278154,25348,46.3,47.1,46.3,46.65
2025-12-16,2337,87654505,38034,37.6,37.7,36.0,37.15
2025-12-16,2303,83189714,32810,48.75,49.2,47.9,49.2
2025-12-16,1605,78847301,35580,31.0,31.0,29.1,29.45
2025-12-16,00982A,76932465,30545,13.88,13.9,13.48,13.65
2025-12-16,0056,76449009,54321,36.05,36.15,35.88,36.07
2025-12-16,5521,74534404,23396,20.7,22.45,20.2,22.25
2025-12-16,2882,72929069,20406,69.7,70.2,69.2,70.2
2025-12-16,1802,69983020,34977,35.7,35.95,34.05,34.55
2025-12-17,2887,641237051,77662,20.2,21.6,20.15,21.25
2025-12-17,2344,454004106,206122,71.3,74.4,70.2,73.9
2025-12-17,00919,209177193,37403,21.75,22.2,21.75,22.1
2025-12-17,6770,156274375,53503,34.1,35.0,33.3,34.8
2025-12-17,2891,126074237,44781,46.9,49.4,46.85,48.95
2025-12-17,2303,121851626,47457,49.45,50.9,49.3,50.4
2025-12-17,00981A,113556926,32420,15.91,15.98,15.75,15.76
2025-12-17,2485,106076356,51763,29.5,31.0,29.1,29.55
2025-12-17,2337,100179489,41837,37.4,38.35,36.5,37.65
2025-12-17,0050,98504980,86356,62.15,62.45,61.85,61.9
2025-12-17,2313,87263422,41642,87.9,94.9,87.1,94.9
2025-12-17,2892,84327797,26279,29.0,29.8,29.0,29.25
2025-12-17,2882,77256481,31254,70.2,73.5,70.1,73.2
2025-12-17,2883,74376120,18313,17.2,17.7,17.15,17.45
2025-12-17,3481,72748102,16625,12.95,13.0,12.65,12.65
2025-12-17,2884,66951780,21748,33.2,33.8,33.1,33.5
2025-12-17,00878,66416173,19932,21.2,21.46,21.19,21.35
2025-12-17,2890,66087932,22390,28.2,29.3,28.2,28.9
2025-12-17,1303,61407692,33976,58.5,59.1,56.5,57.4
2025-12-17,3576,59857300,18503,9.1,9.35,8.3,8.38
2025-12-18,2887,552105836,43683,21.65,21.7,21.2,21.3
2025-12-18,2344,531280423,237292,75.0,77.8,73.9,74.5
2025-12-18,00991A,269922120,45453,9.77,9.77,9.66,9.66
